index,sn_nand2,sp_nand2,sn_nor2,sp_nor2,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
139,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,14.0,14.0,40.0,40.0,4.591e-11,4.02e-11,4.306e-11,25.0,1
140,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,14.0,14.0,42.0,42.0,4.594e-11,4.028e-11,4.311e-11,25.0,1
141,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,14.0,14.0,44.0,44.0,4.6e-11,4.035e-11,4.317e-11,25.0,1
142,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,16.0,16.0,40.0,40.0,4.614e-11,4.032e-11,4.323e-11,25.0,1
143,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,16.0,16.0,42.0,42.0,4.615e-11,4.037e-11,4.326e-11,25.0,1
144,1.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,16.0,16.0,44.0,44.0,4.618e-11,4.043e-11,4.331e-11,25.0,1
145,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,12.0,12.0,40.0,40.0,4.541e-11,3.995e-11,4.268e-11,25.0,1
146,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,12.0,12.0,42.0,42.0,4.545e-11,4.004e-11,4.275e-11,25.0,1
147,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,12.0,12.0,44.0,44.0,4.551e-11,4.016e-11,4.284e-11,25.0,1
148,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,14.0,14.0,40.0,40.0,4.536e-11,3.981e-11,4.258e-11,25.0,1
149,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,14.0,14.0,42.0,42.0,4.54e-11,3.986e-11,4.263e-11,25.0,1
150,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,14.0,14.0,44.0,44.0,4.543e-11,3.993e-11,4.268e-11,25.0,1
151,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,16.0,16.0,40.0,40.0,4.547e-11,3.981e-11,4.264e-11,25.0,1
152,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,16.0,16.0,42.0,42.0,4.548e-11,3.986e-11,4.267e-11,25.0,1
153,1.0,1.0,2.0,4.0,3.0,3.0,5.0,5.0,16.0,16.0,44.0,44.0,4.551e-11,3.989e-11,4.27e-11,25.0,1
154,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,12.0,12.0,40.0,40.0,4.525e-11,3.991e-11,4.258e-11,25.0,1
155,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,12.0,12.0,42.0,42.0,4.531e-11,3.999e-11,4.265e-11,25.0,1
156,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,12.0,12.0,44.0,44.0,4.537e-11,4.01e-11,4.274e-11,25.0,1
157,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,14.0,14.0,40.0,40.0,4.513e-11,3.967e-11,4.24e-11,25.0,1
158,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,14.0,14.0,42.0,42.0,4.516e-11,3.974e-11,4.245e-11,25.0,1
159,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,14.0,14.0,44.0,44.0,4.521e-11,3.982e-11,4.251e-11,25.0,1
160,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,16.0,16.0,40.0,40.0,4.515e-11,3.963e-11,4.239e-11,25.0,1
161,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,16.0,16.0,42.0,42.0,4.517e-11,3.966e-11,4.242e-11,25.0,1
162,1.0,1.0,2.0,4.0,3.0,3.0,6.0,6.0,16.0,16.0,44.0,44.0,4.518e-11,3.969e-11,4.244e-11,25.0,1
163,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,12.0,12.0,40.0,40.0,3.831e-11,4.019e-11,3.925e-11,25.0,1
164,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,12.0,12.0,42.0,42.0,3.835e-11,4.027e-11,3.931e-11,25.0,1
165,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,12.0,12.0,44.0,44.0,3.842e-11,4.036e-11,3.939e-11,25.0,1
166,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,14.0,14.0,40.0,40.0,3.843e-11,4.02e-11,3.931e-11,25.0,1
167,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,14.0,14.0,42.0,42.0,3.845e-11,4.026e-11,3.935e-11,25.0,1
168,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,14.0,14.0,44.0,44.0,3.85e-11,4.034e-11,3.942e-11,25.0,1
169,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,16.0,16.0,40.0,40.0,3.867e-11,4.037e-11,3.952e-11,25.0,1
170,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,16.0,16.0,42.0,42.0,3.869e-11,4.04e-11,3.955e-11,25.0,1
171,2.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,16.0,16.0,44.0,44.0,3.872e-11,4.046e-11,3.959e-11,25.0,1
172,2.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,12.0,12.0,40.0,40.0,3.866e-11,4.075e-11,3.971e-11,25.0,1
