index,xinvpa0_size,xnand2_size,xnor3_size,buffer_0_size,buffer_1_size,buffer_2_size,tplh,tphl,tp,temper,alter#
246,1.0,2.0,2.0,3.0,10.0,31.0,4.594e-11,5.424e-11,5.009e-11,25.0,1
247,1.0,2.0,2.0,3.0,10.0,34.0,4.543e-11,5.405e-11,4.974e-11,25.0,1
248,1.0,2.0,2.0,3.0,10.0,37.0,4.51e-11,5.395e-11,4.953e-11,25.0,1
249,1.0,2.0,2.0,3.0,10.0,40.0,4.487e-11,5.393e-11,4.94e-11,25.0,1
250,1.0,2.0,2.0,3.0,10.0,43.0,4.475e-11,5.396e-11,4.936e-11,25.0,1
251,1.0,2.0,2.0,3.0,10.0,46.0,4.469e-11,5.404e-11,4.937e-11,25.0,1
252,1.0,2.0,2.0,3.0,10.0,49.0,4.47e-11,5.415e-11,4.943e-11,25.0,1
253,1.0,3.0,1.0,1.0,6.0,31.0,5.041e-11,5.574e-11,5.308e-11,25.0,1
254,1.0,3.0,1.0,1.0,6.0,34.0,5.019e-11,5.582e-11,5.3e-11,25.0,1
255,1.0,3.0,1.0,1.0,6.0,37.0,5.012e-11,5.598e-11,5.305e-11,25.0,1
256,1.0,3.0,1.0,1.0,6.0,40.0,5.016e-11,5.621e-11,5.319e-11,25.0,1
