index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,tplh,tphl,tp,temper,alter#
154,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,9.0,9.0,55.0,55.0,5.892e-11,5.265e-11,5.578e-11,25.0,1
155,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,9.0,9.0,57.0,57.0,5.902e-11,5.28e-11,5.591e-11,25.0,1
156,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,11.0,11.0,49.0,49.0,5.883e-11,5.219e-11,5.551e-11,25.0,1
157,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,11.0,11.0,51.0,51.0,5.885e-11,5.226e-11,5.555e-11,25.0,1
158,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,11.0,11.0,53.0,53.0,5.888e-11,5.235e-11,5.562e-11,25.0,1
159,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,11.0,11.0,55.0,55.0,5.893e-11,5.244e-11,5.569e-11,25.0,1
160,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,11.0,11.0,57.0,57.0,5.899e-11,5.255e-11,5.577e-11,25.0,1
161,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,13.0,13.0,49.0,49.0,5.93e-11,5.249e-11,5.59e-11,25.0,1
162,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,13.0,13.0,51.0,51.0,5.929e-11,5.254e-11,5.591e-11,25.0,1
163,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,13.0,13.0,53.0,53.0,5.931e-11,5.259e-11,5.595e-11,25.0,1
164,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,13.0,13.0,55.0,55.0,5.933e-11,5.266e-11,5.599e-11,25.0,1
165,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,13.0,13.0,57.0,57.0,5.935e-11,5.273e-11,5.604e-11,25.0,1
166,1.0,1.0,3.0,2.0,2.0,6.0,3.0,3.0,9.0,9.0,49.0,49.0,5.727e-11,5.09e-11,5.409e-11,25.0,1
167,1.0,1.0,3.0,2.0,2.0,6.0,3.0,3.0,9.0,9.0,51.0,51.0,5.732e-11,5.101e-11,5.417e-11,25.0,1
168,1.0,1.0,3.0,2.0,2.0,6.0,3.0,3.0,9.0,9.0,53.0,53.0,5.739e-11,5.114e-11,5.427e-11,25.0,1
169,1.0,1.0,3.0,2.0,2.0,6.0,3.0,3.0,9.0,9.0,55.0,55.0,5.747e-11,5.128e-11,5.437e-11,25.0,1
170,1.0,1.0,3.0,2.0,2.0,6.0,3.0,3.0,9.0,9.0,57.0,57.0,5.756e-11,5.143e-11,5.449e-11,25.0,1
171,1.0,1.0,3.0,2.0,2.0,6.0,3.0,3.0,11.0,11.0,49.0,49.0,5.697e-11,5.044e-11,5.371e-11,25.0,1
172,1.0,1.0,3.0,2.0,2.0,6.0,3.0,3.0,11.0,11.0,51.0,51.0,5.698e-11,5.051e-11,5.375e-11,25.0,1
