index,sn_xinvpa0,sp_xinvpa0,sn_nand2,sp_nand2,sn_nor3,sp_nor3,sn_buffer_0,sp_buffer_0,sn_buffer_1,sp_buffer_1,sn_buffer_2,sp_buffer_2,sn_buffer_3,sp_buffer_3,tplh,tphl,tp,temper,alter#
122,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,15.0,15.0,65.0,65.0,5.726e-11,7.289e-11,6.508e-11,25.0,1
123,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,15.0,15.0,67.0,67.0,5.73e-11,7.296e-11,6.513e-11,25.0,1
124,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,15.0,15.0,69.0,69.0,5.735e-11,7.304e-11,6.519e-11,25.0,1
125,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,15.0,15.0,71.0,71.0,5.74e-11,7.312e-11,6.526e-11,25.0,1
126,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,17.0,17.0,63.0,63.0,5.712e-11,7.262e-11,6.487e-11,25.0,1
127,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,17.0,17.0,65.0,65.0,5.713e-11,7.268e-11,6.49e-11,25.0,1
128,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,17.0,17.0,67.0,67.0,5.716e-11,7.273e-11,6.495e-11,25.0,1
129,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,17.0,17.0,69.0,69.0,5.719e-11,7.279e-11,6.499e-11,25.0,1
130,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,17.0,17.0,71.0,71.0,5.723e-11,7.286e-11,6.504e-11,25.0,1
131,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,19.0,19.0,63.0,63.0,5.712e-11,7.256e-11,6.484e-11,25.0,1
132,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,19.0,19.0,65.0,65.0,5.713e-11,7.26e-11,6.486e-11,25.0,1
133,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,19.0,19.0,67.0,67.0,5.714e-11,7.264e-11,6.489e-11,25.0,1
134,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,19.0,19.0,69.0,69.0,5.716e-11,7.268e-11,6.492e-11,25.0,1
135,1.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,6.0,6.0,19.0,19.0,71.0,71.0,5.718e-11,7.273e-11,6.496e-11,25.0,1
136,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,15.0,15.0,63.0,63.0,5.448e-11,6.982e-11,6.215e-11,25.0,1
137,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,15.0,15.0,65.0,65.0,5.451e-11,6.989e-11,6.22e-11,25.0,1
138,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,15.0,15.0,67.0,67.0,5.456e-11,6.996e-11,6.226e-11,25.0,1
139,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,15.0,15.0,69.0,69.0,5.462e-11,7.005e-11,6.233e-11,25.0,1
140,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,15.0,15.0,71.0,71.0,5.467e-11,7.013e-11,6.24e-11,25.0,1
141,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,17.0,17.0,63.0,63.0,5.455e-11,6.976e-11,6.216e-11,25.0,1
142,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,17.0,17.0,65.0,65.0,5.457e-11,6.982e-11,6.219e-11,25.0,1
143,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,17.0,17.0,67.0,67.0,5.461e-11,6.988e-11,6.224e-11,25.0,1
144,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,4.0,4.0,17.0,17.0,69.0,69.0,5.464e-11,6.994e-11,6.229e-11,25.0,1
